x,y1,y2,y3
10,0.0,7.511755773017564,11.255877886508781
20,1.0,9.343648090179347,12.171824045089673
30,2.0,9.999833902220645,12.499916951110322
40,2.8,9.30270169187122,12.15135084593561
50,3.6,7.440946044332378,11.220473022166189
60,4.4,4.918493194030225,9.959246597015113
70,5.1,2.418102002499858,8.709051001249929
80,5.7,0.6165598448223086,7.808279922411154
90,6.3,0.001494813802588979,7.5007474069012945
100,6.8,0.7393881581581043,7.869694079079052
110,7.2,2.630512370726072,8.815256185363037
120,7.5,5.162991951340176,10.081495975670089
130,7.7,7.651354077341374,11.325677038670687
140,7.8,9.422067312044089,12.211033656022044
150,7.9,9.995848107259924,12.497924053629962
